numeActiune,timestamp
Adaugare client,28/04/2021 18:10:55
Adaugare client,28/04/2021 18:21:31
Afisare clienti,28/04/2021 18:22:15
Modificare client,28/04/2021 18:23:41
Stergere client,28/04/2021 18:24:00
Statistica COVID,28/04/2021 18:24:12
Afisarea mediei de experienta a Medicilor,28/04/2021 18:24:23
Afisarea celui mai vechi medic,28/04/2021 18:24:30
Adaugare programare,28/04/2021 18:25:35
Afisarea programarilor,28/04/2021 18:25:43
Afisarea valori medii a echipamentelor,28/04/2021 18:26:01
Adaugare client,24/05/2021 12:39:04
Adaugare client,24/05/2021 12:40:10
Adaugare client,24/05/2021 12:42:03
Modificare client,24/05/2021 13:57:31
Modificare client,24/05/2021 14:02:36
Modificare client,24/05/2021 14:21:06
Adaugare client,24/05/2021 16:26:57
Adaugare client,24/05/2021 16:27:47
Adaugare client,24/05/2021 16:29:01
Adaugare client,24/05/2021 16:31:07
Adaugare client,24/05/2021 16:31:33
Adaugare client,24/05/2021 16:32:19
Adaugare programare,24/05/2021 17:00:35
Adaugare client,24/05/2021 17:01:36
Afisare clienti,24/05/2021 17:01:38
Modificare client,24/05/2021 17:02:22
Stergere client,24/05/2021 17:02:26
Statistica COVID,24/05/2021 17:02:31
Statistica COVID,24/05/2021 17:03:52
Afisarea mediei de experienta a Medicilor,24/05/2021 17:04:04
Afisarea celui mai vechi medic,24/05/2021 17:04:11
Adaugare programare,24/05/2021 17:04:47
Afisarea programarilor,24/05/2021 17:04:51
Afisarea programarilor,24/05/2021 17:07:19
Afisarea programarilor,24/05/2021 17:30:16
Adaugare programare,24/05/2021 17:30:37
Afisarea programarilor,24/05/2021 17:30:40
Afisarea programarilor,24/05/2021 17:38:26
Afisarea programarilor,24/05/2021 17:46:27
Afisarea programarilor,24/05/2021 17:47:32
Afisarea programarilor,24/05/2021 17:48:39
Afisarea programarilor,24/05/2021 17:54:58
Afisarea programarilor,24/05/2021 17:55:57
Adaugare programare,24/05/2021 17:56:48
Afisarea programarilor,24/05/2021 17:56:50
Afisarea programarilor,24/05/2021 17:59:36
Afisarea programarilor,24/05/2021 18:56:08
Afisarea valori medii a echipamentelor,24/05/2021 18:56:09
Afisarea celui mai vechi medic,24/05/2021 18:56:13
Afisarea mediei de experienta a Medicilor,24/05/2021 18:56:14
Modificare client,24/05/2021 20:17:29
Afisarea programarilor,24/05/2021 20:26:01
Statistica COVID,25/05/2021 18:49:24
Statistica COVID,25/05/2021 18:50:22
Statistica COVID,25/05/2021 18:50:38
Statistica COVID,25/05/2021 18:50:41
Statistica COVID,25/05/2021 18:51:23
Statistica COVID,25/05/2021 18:52:21
